                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.83701,                 1.2318,                0.73518,                0.89609,                 0.9218,                0.86693,                0.87714,                0.69057,                0.93667,                  0.838,                0.85182,                0.52253,                0.79902,                 1.2264,                0.58378,                0.88172,             0.00035416,             0.00035416,             0.00035416
                     35,                0.82436,                 1.2137,                0.72197,                0.89194,                0.90964,                 0.8866,                0.88057,                0.68392,                0.88347,                0.86246,                0.84529,                0.52293,                0.79276,                  1.214,                0.56871,                0.87825,             0.00034895,             0.00034895,             0.00034895
                     36,                0.81756,                 1.1838,                0.70957,                0.88673,                0.93524,                0.87128,                0.87268,                0.69749,                0.91289,                0.85481,                0.85681,                0.53173,                0.74731,                 1.2557,                0.56185,                0.86765,             0.00034374,             0.00034374,             0.00034374
                     37,                0.83301,                 1.2453,                0.72206,                0.88868,                0.94338,                0.88481,                0.88837,                0.70145,                0.90764,                0.85754,                0.86149,                0.53214,                0.75274,                 1.1877,                0.54341,                0.87583,             0.00033853,             0.00033853,             0.00033853
                     38,                0.80013,                 1.1867,                0.70153,                0.88993,                0.89901,                0.88657,                0.87068,                0.67795,                0.87396,                0.87463,                0.84569,                0.52732,                0.79083,                 1.2012,                0.56208,                0.88182,             0.00033333,             0.00033333,             0.00033333
                     39,                0.81062,                 1.2149,                0.69767,                0.88246,                0.94439,                0.89721,                0.90188,                 0.7013,                0.91683,                0.86989,                0.87588,                0.55631,                0.74037,                 1.1591,                 0.5463,                0.86589,             0.00032812,             0.00032812,             0.00032812
                     40,                0.77725,                 1.1212,                0.67448,                0.87476,                0.95221,                0.89073,                0.90147,                0.70206,                0.88923,                0.84278,                0.84275,                0.52242,                0.72834,                 1.2202,                0.53581,                0.85756,             0.00032291,             0.00032291,             0.00032291
                     41,                0.81401,                 1.1837,                0.69429,                 0.8788,                0.97362,                 0.8974,                0.90217,                0.71082,                0.93746,                0.86178,                0.86333,                0.53525,                0.72609,                 1.1887,                0.53414,                0.85665,              0.0003177,              0.0003177,              0.0003177
                     42,                0.75489,                 1.1548,                0.66984,                0.87686,                0.96004,                0.89374,                0.89809,                0.71393,                0.92056,                0.85972,                0.86458,                0.54821,                0.69909,                 1.1357,                0.52767,                0.85393,              0.0003125,              0.0003125,              0.0003125
                     43,                0.77749,                  1.148,                0.66779,                0.87473,                0.92594,                0.89177,                0.88886,                0.70143,                 0.9371,                0.85514,                0.86629,                0.55758,                0.71576,                 1.1657,                0.52183,                0.85564,             0.00030729,             0.00030729,             0.00030729
                     44,                0.77779,                 1.1319,                0.67528,                0.87579,                0.93844,                0.89998,                0.88967,                0.71279,                0.92266,                0.85149,                0.85773,                0.53107,                0.68628,                 1.2191,                0.55184,                0.85224,             0.00030208,             0.00030208,             0.00030208
                     45,                0.74319,                 1.1229,                0.65522,                0.86871,                0.96004,                0.89542,                0.90324,                0.72717,                0.92706,                0.85532,                0.87252,                0.54495,                0.66435,                 1.1503,                0.53339,                0.84748,             0.00029687,             0.00029687,             0.00029687
                     46,                0.75713,                 1.1133,                0.65158,                0.86696,                0.94742,                0.89523,                 0.9028,                0.71199,                0.94587,                0.86035,                0.87658,                0.55892,                0.70705,                 1.1293,                0.51852,                0.85217,             0.00029167,             0.00029167,             0.00029167
                     47,                0.76309,                 1.1177,                0.65158,                0.87206,                0.96471,                0.89653,                0.90259,                0.71529,                0.91697,                0.85889,                0.85805,                0.53894,                0.71278,                 1.1548,                0.53673,                 0.8541,             0.00028646,             0.00028646,             0.00028646
                     48,                0.74759,                 1.1105,                0.63871,                0.86337,                0.96623,                0.88817,                0.90122,                0.72624,                0.92083,                0.86346,                 0.8601,                0.54742,                0.67568,                 1.1335,                0.51204,                0.84236,             0.00028125,             0.00028125,             0.00028125
                     49,                0.74945,                 1.1075,                0.63946,                 0.8678,                0.96217,                0.89582,                0.90258,                0.72647,                 0.9324,                0.87675,                0.88231,                0.56791,                0.67218,                 1.1056,                0.49512,                0.84701,             0.00027604,             0.00027604,             0.00027604
                     50,                0.73933,                 1.0976,                0.64826,                0.86902,                0.93573,                0.90214,                0.90279,                0.73925,                 0.9073,                0.85473,                0.86032,                0.55308,                0.64947,                 1.1204,                0.50284,                0.84326,             0.00027084,             0.00027084,             0.00027084
                     51,                0.75153,                 1.1181,                0.64977,                0.86449,                0.93974,                0.89258,                0.89836,                 0.7348,                0.94502,                0.87665,                0.88808,                0.57999,                0.66104,                 1.0948,                 0.4902,                0.84507,             0.00026563,             0.00026563,             0.00026563
                     52,                0.73793,                 1.1154,                0.65497,                0.86512,                0.94201,                0.89516,                0.90013,                0.74025,                0.88763,                0.85868,                0.85004,                 0.5677,                0.64376,                 1.0973,                0.48206,                0.83608,             0.00026042,             0.00026042,             0.00026042
                     53,                0.75164,                 1.0628,                 0.6362,                0.86548,                0.91161,                0.88972,                0.90048,                0.73454,                0.87036,                0.86051,                0.85367,                 0.5567,                0.65379,                 1.0684,                0.49774,                0.83877,             0.00025522,             0.00025522,             0.00025522
                     54,                0.71042,                 1.0669,                0.61912,                0.85521,                  0.937,                0.88933,                0.89685,                0.73866,                 0.9429,                0.84612,                0.86122,                0.58087,                0.62515,                 1.0573,                0.46696,                0.84118,             0.00025001,             0.00025001,             0.00025001
                     55,                0.71085,                 1.0573,                0.61675,                0.85797,                0.95089,                0.89835,                0.90243,                0.75017,                0.94803,                 0.8634,                0.86901,                0.59081,                0.60935,                 1.0473,                0.46001,                0.83825,              0.0002448,              0.0002448,              0.0002448
                     56,                0.69899,                 1.0605,                0.61367,                0.86543,                 0.9124,                0.88003,                0.89463,                 0.7474,                0.91601,                0.81996,                0.83842,                0.58325,                0.60504,                  1.086,                0.45871,                0.83322,             0.00023959,             0.00023959,             0.00023959
                     57,                 0.6816,                 1.0271,                0.60348,                0.85066,                0.93267,                0.88214,                0.90294,                0.76783,                0.95369,                0.84493,                0.87942,                0.58454,                0.57113,                      1,                0.46133,                0.83096,             0.00023439,             0.00023439,             0.00023439
                     58,                0.66666,                 1.0384,                0.59913,                0.84799,                0.93296,                0.89488,                0.90047,                0.75581,                0.95643,                0.85847,                 0.8791,                0.58279,                0.60007,                 1.0396,                0.45453,                0.83205,             0.00022918,             0.00022918,             0.00022918
                     59,                0.68057,                 1.0367,                0.60093,                0.85162,                0.93719,                0.87766,                0.89665,                 0.7543,                0.89859,                0.86511,                0.86129,                0.57598,                0.60951,                 1.0723,                0.45087,                0.83381,             0.00022397,             0.00022397,             0.00022397
                     60,                0.70411,                 1.0631,                0.60332,                0.85565,                0.90921,                0.89781,                0.89525,                0.74606,                0.93381,                 0.8542,                0.86213,                0.56863,                0.61282,                 1.0357,                0.46069,                0.83571,             0.00021876,             0.00021876,             0.00021876
                     61,                 0.6986,                 1.0438,                0.60131,                  0.855,                0.92564,                0.89248,                0.89171,                0.75624,                0.92816,                0.85261,                 0.8603,                0.57371,                0.58363,                 1.0276,                0.44459,                  0.827,             0.00021356,             0.00021356,             0.00021356
                     62,                0.67075,                 1.0228,                0.59183,                  0.853,                0.92223,                0.89357,                0.89079,                0.75185,                0.91804,                0.84172,                0.85117,                0.55366,                0.57274,                  1.078,                0.43652,                 0.8251,             0.00020835,             0.00020835,             0.00020835
                     63,                  0.679,                 1.0228,                 0.5979,                0.85591,                0.93502,                0.89736,                0.90014,                0.75841,                0.93154,                0.83371,                0.84819,                0.57595,                0.57977,                  1.096,                0.44048,                0.82769,             0.00020314,             0.00020314,             0.00020314
                     64,                0.66625,                 1.0086,                0.57728,                0.84917,                0.96024,                0.87852,                0.90128,                0.75581,                0.89862,                0.85165,                0.84335,                0.57779,                0.57214,                 1.0614,                0.43991,                0.82689,             0.00019793,             0.00019793,             0.00019793
                     65,                0.68361,                 1.0556,                0.59886,                0.85635,                0.95911,                0.87743,                0.89975,                0.75479,                0.92397,                0.84499,                0.85621,                0.57641,                 0.5755,                  1.056,                0.44645,                0.82857,             0.00019273,             0.00019273,             0.00019273
                     66,                0.67377,                 1.0317,                0.58268,                0.85195,                0.96817,                0.87861,                0.90164,                0.76449,                0.92516,                0.87564,                0.87435,                0.59136,                0.56679,                 1.0617,                0.43302,                0.82735,             0.00018752,             0.00018752,             0.00018752
                     67,                 0.6678,                 1.0226,                0.57652,                0.84814,                0.95135,                0.87819,                0.90063,                 0.7554,                0.89664,                0.85403,                0.84195,                0.57294,                0.55085,                 1.0022,                0.43249,                0.82146,             0.00018231,             0.00018231,             0.00018231
                     68,                0.66501,                 1.0065,                0.58198,                0.84802,                0.94976,                 0.8956,                 0.9035,                0.75414,                0.92693,                0.87674,                0.87491,                0.59526,                0.57083,                 1.0071,                0.43299,                0.82518,              0.0001771,              0.0001771,              0.0001771
                     69,                0.68056,                 1.0287,                0.59715,                0.85451,                0.94702,                0.88356,                 0.9016,                0.74797,                0.91252,                0.86379,                0.86197,                0.56657,                0.58927,                 1.0218,                0.43742,                0.83053,              0.0001719,              0.0001719,              0.0001719
                     70,                0.65736,                 1.0015,                0.57737,                0.85108,                0.94942,                0.87693,                 0.9019,                0.75428,                0.89502,                0.85629,                0.85162,                0.58223,                0.57077,                  1.076,                0.43514,                0.82337,             0.00016669,             0.00016669,             0.00016669
                     71,                0.66428,                 1.0088,                0.57236,                0.84982,                0.95281,                0.89373,                 0.9035,                0.75637,                0.94404,                 0.8559,                0.87319,                0.59106,                 0.5744,                0.97537,                0.43111,                0.82516,             0.00016148,             0.00016148,             0.00016148
                     72,                0.65787,                 1.0026,                0.58178,                0.85611,                0.92788,                0.89514,                0.89677,                0.75599,                0.96528,                0.85154,                 0.8708,                0.59138,                0.57754,                 1.0434,                0.43269,                0.82247,             0.00015627,             0.00015627,             0.00015627
                     73,                0.64139,                0.98985,                0.56445,                0.85118,                  0.954,                0.88473,                0.90082,                0.76533,                 0.9651,                0.84045,                0.86738,                0.58926,                 0.5721,                 1.0034,                 0.4344,                0.82537,             0.00015107,             0.00015107,             0.00015107
                     74,                0.63721,                  1.016,                0.56584,                 0.8447,                0.94993,                0.88737,                0.90423,                0.76176,                0.91858,                0.86722,                0.87608,                0.60372,                0.56882,                 1.0064,                0.42743,                 0.8236,             0.00014586,             0.00014586,             0.00014586
                     75,                0.63639,                0.96658,                0.55464,                0.84797,                0.94902,                0.87508,                0.90251,                0.77957,                0.96319,                0.83314,                0.86337,                0.59366,                0.54398,                0.98688,                0.42206,                0.82114,             0.00014065,             0.00014065,             0.00014065
                     76,                0.63432,                0.97411,                0.55693,                0.84436,                0.96053,                0.87893,                0.90287,                0.76473,                0.96911,                0.84348,                0.87294,                0.60208,                0.58375,                 1.0791,                0.42742,                0.82591,             0.00013544,             0.00013544,             0.00013544
                     77,                0.62867,                0.96188,                0.55839,                0.84261,                0.94989,                0.89758,                0.90362,                0.77088,                0.96117,                0.84491,                0.86699,                0.60376,                0.55325,                 1.0142,                0.42086,                0.81927,             0.00013024,             0.00013024,             0.00013024
                     78,                0.63541,                0.99529,                0.56966,                0.85128,                0.92239,                0.88342,                0.89848,                 0.7678,                0.95306,                0.85349,                0.86773,                0.58602,                0.56334,                 1.1097,                0.42699,                0.82178,             0.00012503,             0.00012503,             0.00012503
                     79,                0.62093,                0.95834,                0.55563,                0.83824,                0.95084,                0.87936,                0.90195,                 0.7653,                0.96171,                0.84698,                0.86813,                0.59433,                0.54848,                 1.0088,                0.41012,                0.82325,             0.00011982,             0.00011982,             0.00011982
                     80,                0.61602,                 0.9634,                0.54595,                0.83853,                0.95334,                0.87456,                0.90113,                0.76739,                0.94454,                0.84599,                0.86993,                0.58579,                0.55792,                 1.0696,                0.41167,                0.82233,             0.00011462,             0.00011462,             0.00011462
                     81,                0.62601,                0.96799,                0.54918,                0.84518,                 0.9628,                0.87842,                0.90201,                0.77277,                0.92354,                0.85051,                0.85931,                0.58677,                 0.5325,                  1.013,                0.41117,                 0.8186,             0.00010941,             0.00010941,             0.00010941
                     82,                 0.6164,                0.95461,                0.54961,                0.83755,                0.96482,                0.86929,                0.90052,                0.76614,                0.88714,                0.83129,                0.83136,                0.56268,                 0.5472,                 1.0713,                0.41572,                0.81856,              0.0001042,              0.0001042,              0.0001042
                     83,                  0.602,                0.94711,                0.53544,                 0.8391,                 0.9492,                0.87663,                0.90175,                0.76615,                0.90719,                0.84672,                0.85011,                0.56929,                0.52763,                 1.0358,                0.41406,                0.81713,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                0.58764,                0.93452,                0.53428,                0.83505,                 0.9628,                0.87794,                0.90228,                0.78078,                0.92931,                0.85645,                0.86316,                0.58965,                0.51913,                0.97459,                0.40433,                0.81573,             9.3786e-05,             9.3786e-05,             9.3786e-05
